SA3_CODE16,Year,WB,rsWB
70203,2012,0.017709965352047878,0.6488095238095238
70204,2012,0.03212971844024724,0.7678571428571429
70205,2012,0.0063089970729507845,0.33035714285714285
80101,2012,0.011991956635130937,0.5416666666666666
80103,2012,0.001425062600211439,0.12797619047619047
80104,2012,0.012885442392464693,0.5565476190476191
80105,2012,0.7057579469981687,0.9821428571428571
80106,2012,1.4842725057284005,0.9880952380952381
80107,2012,0.013125812907500499,0.5595238095238095
80108,2012,0.46593449624864186,0.9702380952380952
80109,2012,2.3976398006625543e-4,0.050595238095238096
80110,2012,0.19076238435756188,0.9345238095238095
80111,2012,0.0059873678070905415,0.30952380952380953
10102,2013,0.01015251718047162,0.49702380952380953
10103,2013,0.01690857942506715,0.6309523809523809
10104,2013,0.016537802969747575,0.6160714285714286
10105,2013,0.016593265074453127,0.6220238095238095
10106,2013,0.00622049284181193,0.32142857142857145
10201,2013,0.050423966261884764,0.8363095238095238
10202,2013,1.219461681395501,0.9851190476190477
10301,2013,0.004513794834356975,0.26785714285714285
10302,2013,0.019209503092992845,0.6696428571428571
10303,2013,0.006895084700963876,0.3482142857142857
10304,2013,0.0188216669881813,0.6636904761904762
10401,2013,0.01033475876814614,0.5029761904761905
10402,2013,0.005178779408131789,0.27976190476190477
10501,2013,0.007440669022212871,0.3630952380952381
10502,2013,0.010147370590411769,0.49404761904761907
10503,2013,0.010069595231891028,0.4880952380952381
10601,2013,0.01344656611127634,0.5654761904761905
10602,2013,0.06166835485667619,0.8660714285714286
10603,2013,0.12279811424620236,0.9136904761904762
10604,2013,0.019106988827378664,0.6666666666666666
10701,2013,0.013921356367785354,0.5773809523809523
10702,2013,0.03353211036754875,0.7708333333333334
10703,2013,0.007883824064618575,0.3958333333333333
10704,2013,0.005416478022614703,0.2916666666666667
10801,2013,0.05002419988002842,0.8303571428571429
10802,2013,0.011788955206928489,0.5357142857142857
10803,2013,0,0.002976190476190476
10804,2013,0.00689498576118637,0.34523809523809523
10805,2013,0.0038760488186527133,0.23809523809523808
10901,2013,0.4141896631442298,0.9672619047619048
10902,2013,0.04949771537025041,0.8244047619047619
10903,2013,0.04912027726733709,0.8214285714285714
11001,2013,0.0012279048015190737,0.11607142857142858
11002,2013,0.0034392124569501423,0.2113095238095238
11003,2013,0.01327595041229351,0.5625
