LGA_CODE16,CHD,Cereb,COPD,Heart,CA,AC
36950,NA,NA,NA,NA,NA,946.84091
36960,NA,NA,NA,NA,NA,824.89515
37010,75.83216,37.523275,29.290213,8.5856022,NA,615.29282
37300,NA,NA,NA,NA,NA,NA
37310,79.678246,38.739799,40.208878,NA,9.1085251,604.34827
37340,75.55902,38.274255,37.868484,NA,NA,617.6468
37400,NA,NA,NA,NA,NA,644.37775
37550,NA,NA,NA,NA,NA,NA
37570,NA,NA,NA,NA,NA,NA
37600,NA,NA,NA,NA,NA,NA
40070,48.795424,34.422151,18.79022,NA,NA,508.3206
40120,41.686593,23.942377,20.277773,NA,NA,423.82843
40220,48.862233,31.108923,22.938327,6.8193332,7.4299201,485.15303
40250,NA,NA,NA,NA,NA,1093.1654
40310,53.022149,44.659033,22.627971,NA,NA,502.12192
40430,129.20081,NA,NA,NA,NA,689.03353
40520,72.400457,29.685053,32.45401,NA,NA,591.95641
40700,47.11432,26.390353,11.917598,5.1709325,4.4853058,407.53836
40910,50.414517,26.507057,13.119316,10.271876,6.524909,454.88998
41010,NA,NA,NA,NA,NA,650.61161
41060,58.357842,34.143656,18.923912,8.2982872,8.0399708,540.74444
41140,49.982495,33.344721,37.276047,NA,NA,518.69862
41190,NA,NA,NA,NA,NA,558.10084
41330,NA,NA,NA,NA,NA,928.44621
41560,73.51374,30.018217,28.990918,NA,NA,630.49395
41750,NA,NA,NA,NA,NA,574.31797
41830,NA,NA,NA,NA,NA,634.65058
41960,NA,NA,NA,NA,NA,558.10084
42030,62.861107,31.09623,28.874698,NA,9.9346891,579.67187
42110,109.84352,NA,NA,NA,NA,641.47418
42250,65.103125,NA,NA,NA,NA,554.22634
42600,42.761858,27.401626,18.169611,8.363528,6.6262682,464.3634
42750,NA,NA,NA,NA,NA,508.08598
43080,NA,NA,NA,NA,NA,576.57431
43220,NA,NA,NA,NA,NA,558.10084
43360,NA,NA,NA,NA,NA,523.08498
43650,76.918883,42.160274,NA,NA,NA,550.9617
43710,68.746375,NA,NA,NA,NA,547.43808
43790,60.228059,25.197847,30.159018,NA,NA,613.31625
43920,NA,NA,NA,NA,NA,NA
44000,NA,NA,NA,NA,NA,NA
44060,51.517132,26.6709,20.688714,8.8383808,NA,494.98962
44210,61.835026,29.285193,NA,NA,NA,574.22809
44340,42.191607,26.031749,13.465709,8.4784002,NA,430.75393
44550,60.669204,28.848384,19.777794,17.863297,NA,482.68896
44620,70.191715,31.682826,32.80285,9.4527184,NA,591.35521
44830,78.330576,NA,NA,NA,NA,583.79108
45040,64.028225,19.25227,22.760103,15.058129,NA,556.30742
45090,53.308645,29.081878,NA,NA,NA,589.82146
45120,51.040344,NA,NA,NA,NA,607.56633
45290,45.927381,22.690075,18.139207,8.8629594,5.4198547,476.18083
45340,59.504416,28.519022,26.234951,8.8311391,NA,543.68383
45400,NA,NA,NA,NA,NA,584.64662
45540,NA,NA,NA,NA,NA,583.74477
45680,67.954059,23.755359,46.584581,NA,NA,687.05247
45890,67.656238,37.354675,27.077877,8.9741399,5.8346787,605.59456
46090,82.83257,29.515194,35.157369,NA,NA,739.53778
46300,66.245917,51.883141,18.670808,NA,NA,569.22836
46450,69.781929,28.37557,32.404661,21.488039,NA,671.05327
46510,49.948852,30.828891,28.353696,NA,NA,480.45089
46670,50.826869,26.892292,36.38281,NA,NA,556.43254
46860,NA,NA,NA,NA,NA,523.08498
46970,NA,NA,NA,NA,NA,NA
47140,59.218563,32.650143,33.896569,9.7552094,NA,629.68423
47290,NA,NA,NA,NA,NA,574.94524
47490,NA,NA,NA,NA,NA,624.79854
47630,60.194138,NA,NA,NA,NA,503.72323
47700,44.982887,27.701669,22.164742,8.1215459,NA,482.30205
47800,93.609982,NA,NA,NA,NA,618.06359
47910,NA,NA,NA,NA,NA,540.91511
47980,77.929972,52.577998,20.43551,14.21137,6.7238296,612.36068
48050,55.22072,29.586735,15.084194,NA,NA,498.81951
48130,129.59029,41.998932,NA,NA,NA,689.49179
48260,65.604161,44.479517,NA,NA,NA,561.23004
48340,77.970185,34.798727,25.451163,21.634505,NA,604.02129
48410,63.126926,26.672971,15.261294,8.8740005,7.6107407,515.79704
48540,64.508921,21.421642,49.962081,NA,NA,657.17242
48640,NA,NA,NA,NA,NA,572.65019
48750,49.227688,NA,NA,NA,NA,490.36321
48830,61.104478,17.851413,25.678919,15.868014,NA,573.61574
